sender,receiver,receiver_2,event_day,rec_pub_day,rec_pub_year,rec_pub_day_2,rec_pub_year_2,lag,lag_2,jac_sim,jac_sim_2,cumu_cit_rec,cumu_cit_rec_2,rec_outd,rec_outd_2,tfe,tfe_2,sim,sim_2
4153419,4033729,4017882,1223,551,1977,467,1977,672,756,1.0,0.0,2,2.0,1,1,70,273.0,0.5806677341461182,0.036364298313856125
4210924,3990090,4028149,1643,306,1976,523,1977,1337,1120,1.0,1.0,1,2.0,1,1,1337,189.0,0.9022809863090515,0.42994195222854614
4252494,4158541,3995416,1881,1265,1979,341,1976,616,1540,0.0,0.0,1,4.0,1,1,616,623.0,0.3560694754123688,0.31896260380744934
4255240,4176215,3977610,1895,1426,1979,243,1976,469,1652,0.5,0.0,1,4.0,1,1,469,280.0,1.0,0.2976728081703186
4266697,4121584,4146082,1958,1027,1978,1181,1979,931,777,1.0,0.0,14,1.0,1,2,14,777.0,0.647222101688385,0.36525020003318787
4267602,4128849,4060850,1958,1069,1978,698,1977,889,1260,0.0,0.0,4,4.0,9,2,35,70.0,0.5183958411216736,0.35419249534606934
4276586,4037271,4189773,2007,565,1977,1510,1980,1442,497,1.0,0.0,6,1.0,1,3,217,497.0,0.5595741868019104,0.3555855453014374
4296191,4187104,4023153,2119,1496,1980,495,1977,623,1624,0.5,0.0,1,2.0,2,2,623,798.0,0.6935051679611206,0.3290185332298279
4309304,4113647,4226947,2196,985,1978,1741,1980,1211,455,0.6666666666666666,0.0,11,1.0,9,2,91,455.0,0.5530833005905151,0.3146730959415436
4309630,4103189,4201720,2196,936,1978,1587,1980,1260,609,1.0,0.0,5,1.0,7,3,84,609.0,0.6353017687797546,0.07800900191068649
4310227,4004852,4126992,2203,390,1977,1062,1978,1813,1141,0.5,0.0,16,2.0,1,3,28,448.0,0.655722975730896,0.2497398406267166
4311016,4206013,4162637,2210,1615,1980,1307,1979,595,903,0.0,0.0,1,1.0,3,1,595,903.0,0.514177143573761,0.06371903419494629
4321791,4044554,4211747,2280,607,1977,1650,1980,1673,630,1.0,0.0,4,1.0,2,2,434,630.0,0.7496412396430969,0.30108392238616943
4328610,4230791,4185973,2322,1762,1980,1489,1980,560,833,1.0,0.0,1,1.0,6,2,560,833.0,0.3006646931171417,0.13870221376419067
4333225,4209716,4041232,2350,1636,1980,586,1977,714,1764,1.0,0.0,3,4.0,8,1,49,238.0,0.41644421219825745,0.011618674732744694
4338309,4283529,4274519,2378,2049,1981,2000,1981,329,378,1.0,0.0,3,1.0,3,1,0,378.0,0.8269754648208618,0.0797499343752861
4352906,4128537,4226790,2469,1069,1978,1741,1980,1400,728,1.0,0.0,2,1.0,2,5,252,728.0,0.2632971704006195,0.08940678834915161
4354746,4122461,4042783,2483,1027,1978,593,1977,1456,1890,1.0,0.0,3,2.0,3,1,504,133.0,0.44635626673698425,0.10800725221633911
4355887,4172660,4208760,2490,1398,1979,1636,1980,1092,854,0.5,0.0,1,1.0,1,2,1092,854.0,0.5601754784584045,0.36469152569770813
4359774,4116733,4301312,2511,999,1978,2147,1981,1512,364,1.0,0.0,5,1.0,1,2,28,364.0,0.38626977801322937,0.1887122541666031
4360890,4162488,4282661,2518,1300,1979,2049,1981,1218,469,0.0,0.0,4,1.0,4,2,28,469.0,0.5605198740959167,0.22516824305057526
4361449,4066478,4013929,2525,733,1978,446,1977,1792,2079,1.0,0.0,5,4.0,1,2,434,672.0,0.43824923038482666,0.2599460482597351
4385728,4195780,3984044,2707,1552,1980,278,1976,1155,2429,1.0,0.0,2,3.0,3,1,567,1715.0,0.681115448474884,0.43123069405555725
4388945,4262691,4110316,2728,1937,1981,971,1978,791,1757,1.0,0.0,2,1.0,2,1,322,1757.0,0.6096251010894775,0.4139081537723541
4391096,4237748,4011377,2742,1804,1980,432,1977,938,2310,1.0,0.0,1,2.0,1,2,938,2009.0,0.6843382716178894,0.2929832637310028
4393055,4334058,4068252,2749,2350,1982,740,1978,399,2009,1.0,0.0,1,7.0,3,2,399,686.0,0.8985416889190674,0.04049649089574814
4397450,4314695,4056766,2777,2231,1982,670,1977,546,2107,1.0,0.0,1,3.0,1,1,546,861.0,0.5245367288589478,0.32244443893432617
4400053,4220398,4066918,2791,1706,1980,733,1978,1085,2058,0.0,0.0,2,2.0,1,1,140,903.0,0.43155503273010254,0.1276339888572693
4399780,4335697,4023151,2791,2364,1982,495,1977,427,2296,1.0,0.0,2,3.0,1,1,35,1792.0,0.5140021443367004,0.2572692334651947
4424368,4234521,4177156,2924,1783,1980,1433,1979,1141,1491,1.0,0.0,2,3.0,4,1,560,826.0,0.8649954795837402,0.13752974569797516
